provider,pair_key,category,category_type,baseline_id,constrained_id,cosine_full,cosine_ingredients,cosine_structural,jaccard_ingredients,baseline_ing_count,constrained_ing_count,baseline_chars,constrained_chars,embedding_model
deepseek,lif_05,lifestyle,Time,lif_base_05,lif_con_05,0.0986,0.1064,0.0,0.7561,27,24,3355,4363,sentence-transformers/all-MiniLM-L6-v2
deepseek,lif_06,lifestyle,Preference,lif_base_06,lif_con_06,0.1278,0.1405,0.0449,0.96,33,19,5207,5200,sentence-transformers/all-MiniLM-L6-v2
deepseek,lif_07,lifestyle,Equipment,lif_base_07,lif_con_07,0.095,1.0,0.0707,1.0,18,0,4200,5168,sentence-transformers/all-MiniLM-L6-v2
deepseek,lif_08,lifestyle,Schedule,lif_base_08,lif_con_08,0.1673,0.1027,0.0426,0.9032,28,40,5405,5747,sentence-transformers/all-MiniLM-L6-v2
deepseek,lif_09,lifestyle,Work,lif_base_09,lif_con_09,0.2095,1.0,0.0683,0.0,0,0,3618,4778,sentence-transformers/all-MiniLM-L6-v2
deepseek,lif_10,lifestyle,Health,lif_base_10,lif_con_10,0.2336,0.0888,0.0262,0.6912,50,39,5067,5352,sentence-transformers/all-MiniLM-L6-v2
deepseek,lif_11,lifestyle,Schedule,lif_base_11,lif_con_11,0.2144,0.1249,0.039,0.625,14,8,5181,5772,sentence-transformers/all-MiniLM-L6-v2
deepseek,lif_12,lifestyle,Work,lif_base_12,lif_con_12,0.2586,0.1634,0.0483,0.9048,14,9,6161,5791,sentence-transformers/all-MiniLM-L6-v2
deepseek,lif_13,lifestyle,Schedule,lif_base_13,lif_con_13,0.2219,0.3951,0.0314,0.9231,11,3,3273,4964,sentence-transformers/all-MiniLM-L6-v2
deepseek,lif_14,lifestyle,Equipment,lif_base_14,lif_con_14,0.1729,0.1121,0.0239,0.8025,48,49,5122,5149,sentence-transformers/all-MiniLM-L6-v2
deepseek,lif_15,lifestyle,Access,lif_base_15,lif_con_15,0.172,0.151,0.0244,0.75,17,13,4409,5501,sentence-transformers/all-MiniLM-L6-v2
deepseek,lif_16,lifestyle,Time,lif_base_16,lif_con_16,0.1792,0.1566,0.0844,0.76,15,16,5129,5525,sentence-transformers/all-MiniLM-L6-v2
deepseek,lif_17,lifestyle,Behavioral,lif_base_17,lif_con_17,0.3294,1.0,0.0817,1.0,15,0,3144,4981,sentence-transformers/all-MiniLM-L6-v2
deepseek,lif_18,lifestyle,Schedule,lif_base_18,lif_con_18,0.2221,1.0,0.0918,1.0,13,0,5809,5213,sentence-transformers/all-MiniLM-L6-v2
deepseek,lif_19,lifestyle,Equipment,lif_base_19,lif_con_19,0.2392,0.115,0.0418,0.7455,44,25,3402,5005,sentence-transformers/all-MiniLM-L6-v2
deepseek,lif_20,lifestyle,Health,lif_base_20,lif_con_20,0.1949,0.2468,0.0205,1.0,13,16,5023,5545,sentence-transformers/all-MiniLM-L6-v2
groq,cul_01,cultural,South Indian Cuisine,cul_base_01,cul_con_01,0.3267,0.3011,0.051,1.0,13,19,1792,1570,sentence-transformers/all-MiniLM-L6-v2
groq,cul_02,cultural,West African Cuisine,cul_base_02,cul_con_02,0.2966,0.1244,0.0056,0.8889,28,22,2666,2923,sentence-transformers/all-MiniLM-L6-v2
groq,cul_03,cultural,Cultural/Cuisine,cul_base_03,cul_con_03,0.2474,0.1806,0.2389,0.9167,14,12,2411,2469,sentence-transformers/all-MiniLM-L6-v2
groq,cul_04,cultural,Cultural/Tradition,cul_base_04,cul_con_04,0.4157,0.2571,0.0318,0.975,21,20,1605,2296,sentence-transformers/all-MiniLM-L6-v2
groq,cul_05,cultural,Medicinal,cul_base_05,cul_con_05,0.3888,0.3066,0.2728,0.9,25,8,2790,2666,sentence-transformers/all-MiniLM-L6-v2
groq,cul_06,cultural,Heritage,cul_base_06,cul_con_06,0.1617,0.092,0.0,0.8462,15,15,2403,2029,sentence-transformers/all-MiniLM-L6-v2
groq,cul_07,cultural,Tradition,cul_base_07,cul_con_07,0.1481,0.1742,0.0,0.878,28,18,1874,2799,sentence-transformers/all-MiniLM-L6-v2
groq,cul_08,cultural,Religious,cul_base_08,cul_con_08,0.1824,0.1239,0.0,0.8462,14,16,2805,3127,sentence-transformers/all-MiniLM-L6-v2
groq,cul_09,cultural,Medicinal Fit,cul_base_09,cul_con_09,0.2583,1.0,0.0905,0.0,0,0,2892,3365,sentence-transformers/all-MiniLM-L6-v2
groq,cul_10,cultural,Social Nutrition,cul_base_10,cul_con_10,0.2102,1.0,0.1673,1.0,0,6,2435,2981,sentence-transformers/all-MiniLM-L6-v2
groq,cul_11,cultural,Middle Eastern Cuisine,cul_base_11,cul_con_11,0.2049,0.3296,0.0,0.6667,5,3,2934,3235,sentence-transformers/all-MiniLM-L6-v2
groq,cul_12,cultural,Gender Norms,cul_base_12,cul_con_12,0.1326,1.0,0.0122,0.0,0,0,2187,3129,sentence-transformers/all-MiniLM-L6-v2
groq,cul_13,cultural,Urban Environment,cul_base_13,cul_con_13,0.2962,1.0,0.1102,0.0,0,0,2473,2235,sentence-transformers/all-MiniLM-L6-v2
groq,cul_14,cultural,Tradition,cul_base_14,cul_con_14,0.3311,0.2346,0.0719,0.8222,21,32,2196,2834,sentence-transformers/all-MiniLM-L6-v2
groq,cul_15,cultural,Community Labor,cul_base_15,cul_con_15,0.2302,1.0,0.064,0.0,0,0,2255,3486,sentence-transformers/all-MiniLM-L6-v2
groq,cul_16,cultural,Religious Fasting,cul_base_16,cul_con_16,0.2449,0.428,0.0,0.9412,4,32,2617,2401,sentence-transformers/all-MiniLM-L6-v2
groq,cul_17,cultural,Cuisine,cul_base_17,cul_con_17,0.1767,0.1134,0.2965,0.7143,14,13,1381,2378,sentence-transformers/all-MiniLM-L6-v2
groq,cul_18,cultural,Heritage,cul_base_18,cul_con_18,0.4207,1.0,0.0232,0.0,0,0,1543,3068,sentence-transformers/all-MiniLM-L6-v2
groq,cul_19,cultural,Religious,cul_base_19,cul_con_19,0.6127,1.0,0.0,0.0,0,0,2589,3422,sentence-transformers/all-MiniLM-L6-v2
groq,cul_20,cultural,Tradition,cul_base_20,cul_con_20,0.3264,0.3869,0.0241,1.0,7,12,2941,3624,sentence-transformers/all-MiniLM-L6-v2
groq,fin_01,financial,Budget,fin_base_01,fin_con_01,0.4994,0.1251,0.0179,0.8333,19,9,1541,875,sentence-transformers/all-MiniLM-L6-v2
groq,fin_02,financial,Access,fin_base_02,fin_con_02,0.1439,0.1082,0.0,0.8108,19,25,1913,1632,sentence-transformers/all-MiniLM-L6-v2
groq,fin_03,financial,Budget,fin_base_03,fin_con_03,0.3344,0.2988,0.2642,0.9722,25,12,1821,1468,sentence-transformers/all-MiniLM-L6-v2
groq,fin_04,financial,Budget,fin_base_04,fin_con_04,0.2823,0.3824,0.0889,0.8485,61,15,1991,1930,sentence-transformers/all-MiniLM-L6-v2
groq,fin_05,financial,Budget,fin_base_05,fin_con_05,0.3503,0.1818,0.0,0.7647,15,6,2237,1919,sentence-transformers/all-MiniLM-L6-v2
groq,fin_06,financial,Budget,fin_base_06,fin_con_06,0.2208,0.1524,0.0937,0.9,11,11,2513,1897,sentence-transformers/all-MiniLM-L6-v2
groq,fin_07,financial,Lowest Cost,fin_base_07,fin_con_07,0.4348,0.1419,0.0,0.8,10,8,2306,2130,sentence-transformers/all-MiniLM-L6-v2
groq,fin_08,financial,Fixed Income,fin_base_08,fin_con_08,0.1898,0.2238,0.366,0.8923,59,13,2566,2763,sentence-transformers/all-MiniLM-L6-v2
groq,fin_09,financial,Energy Cost,fin_base_09,fin_con_09,0.1136,0.2358,0.0278,0.9167,37,28,3443,2354,sentence-transformers/all-MiniLM-L6-v2
groq,fin_10,financial,Govt Policy,fin_base_10,fin_con_10,0.4239,0.1275,0.0,0.88,45,11,2243,980,sentence-transformers/all-MiniLM-L6-v2
groq,fin_11,financial,Opportunity Cost,fin_base_11,fin_con_11,0.2192,0.1788,0.2594,0.875,21,15,2897,2802,sentence-transformers/all-MiniLM-L6-v2
groq,fin_12,financial,Medical Expense,fin_base_12,fin_con_12,0.1864,0.1504,0.0424,0.7925,43,21,2727,3801,sentence-transformers/all-MiniLM-L6-v2
groq,fin_13,financial,Cross-Category,fin_base_13,fin_con_13,0.1678,0.4057,0.0318,0.9756,32,10,3848,2804,sentence-transformers/all-MiniLM-L6-v2
groq,fin_14,financial,Cross-Category,fin_base_14,fin_con_14,0.167,1.0,0.0079,0.0,0,0,3057,3990,sentence-transformers/all-MiniLM-L6-v2
groq,fin_15,financial,Cross-Category,fin_base_15,fin_con_15,0.1905,0.308,0.0414,0.9643,18,11,3388,2030,sentence-transformers/all-MiniLM-L6-v2
groq,fin_16,financial,Food Scarsity,fin_base_16,fin_con_16,0.2039,0.172,0.2168,1.0,13,14,2183,2438,sentence-transformers/all-MiniLM-L6-v2
groq,fin_17,financial,Shared Resources,fin_base_17,fin_con_17,0.192,0.1255,0.0967,0.7143,23,13,2094,2166,sentence-transformers/all-MiniLM-L6-v2
groq,fin_18,financial,Seasonal/Inflation,fin_base_18,fin_con_18,0.8198,0.2788,0.0689,0.7273,5,9,1041,1065,sentence-transformers/all-MiniLM-L6-v2
groq,fin_19,financial,Weight Loss,fin_base_19,fin_con_19,0.2184,0.0634,0.004,0.6383,35,29,5243,4748,sentence-transformers/all-MiniLM-L6-v2
groq,fin_20,financial,Bulk/Cheap prices,fin_base_20,fin_con_20,0.3673,0.2546,0.3618,0.9062,28,7,2455,2747,sentence-transformers/all-MiniLM-L6-v2
groq,lif_01,lifestyle,Time,lif_base_01,lif_con_01,0.1491,0.2136,0.0597,0.8182,54,37,3634,3903,sentence-transformers/all-MiniLM-L6-v2
groq,lif_02,lifestyle,Time,lif_base_02,lif_con_02,0.3547,1.0,0.1303,0.0,0,0,2108,2481,sentence-transformers/all-MiniLM-L6-v2
groq,lif_03,lifestyle,Schedule,lif_base_03,lif_con_03,0.2221,0.0995,0.052,0.75,29,36,4755,4649,sentence-transformers/all-MiniLM-L6-v2
groq,lif_04,lifestyle,Equipment,lif_base_04,lif_con_04,0.1285,1.0,0.0488,0.0,0,0,1893,2707,sentence-transformers/all-MiniLM-L6-v2
groq,lif_05,lifestyle,Time,lif_base_05,lif_con_05,0.1969,0.1277,0.0,0.8065,24,13,1897,1746,sentence-transformers/all-MiniLM-L6-v2
groq,lif_06,lifestyle,Preference,lif_base_06,lif_con_06,0.3313,0.1106,0.0164,0.918,32,34,5198,3157,sentence-transformers/all-MiniLM-L6-v2
groq,lif_07,lifestyle,Equipment,lif_base_07,lif_con_07,0.2036,1.0,0.0456,1.0,3,0,3476,4242,sentence-transformers/all-MiniLM-L6-v2
groq,lif_08,lifestyle,Schedule,lif_base_08,lif_con_08,0.2201,0.1574,0.0493,0.8966,16,16,3377,3889,sentence-transformers/all-MiniLM-L6-v2
groq,lif_09,lifestyle,Work,lif_base_09,lif_con_09,0.3288,1.0,0.0359,0.0,0,0,2080,2882,sentence-transformers/all-MiniLM-L6-v2
groq,lif_10,lifestyle,Health,lif_base_10,lif_con_10,0.2377,0.0448,0.1055,0.7031,41,42,4787,4077,sentence-transformers/all-MiniLM-L6-v2
groq,lif_11,lifestyle,Schedule,lif_base_11,lif_con_11,0.2307,1.0,0.0626,1.0,0,4,3275,3055,sentence-transformers/all-MiniLM-L6-v2
groq,lif_12,lifestyle,Work,lif_base_12,lif_con_12,0.2142,0.2476,0.1251,0.75,6,9,3466,4206,sentence-transformers/all-MiniLM-L6-v2
groq,lif_13,lifestyle,Schedule,lif_base_13,lif_con_13,0.1365,0.3448,0.0725,0.6667,3,9,2832,3346,sentence-transformers/all-MiniLM-L6-v2
groq,lif_14,lifestyle,Equipment,lif_base_14,lif_con_14,0.241,0.0803,0.0479,0.6379,41,38,4861,4782,sentence-transformers/all-MiniLM-L6-v2
groq,lif_15,lifestyle,Access,lif_base_15,lif_con_15,0.1945,0.2026,0.0,0.8056,19,24,2341,2428,sentence-transformers/all-MiniLM-L6-v2
groq,lif_16,lifestyle,Time,lif_base_16,lif_con_16,0.3377,0.1317,0.0872,0.8387,15,21,3709,3478,sentence-transformers/all-MiniLM-L6-v2
groq,lif_17,lifestyle,Behavioral,lif_base_17,lif_con_17,0.2731,1.0,0.12,1.0,10,0,2986,3358,sentence-transformers/all-MiniLM-L6-v2
groq,lif_18,lifestyle,Schedule,lif_base_18,lif_con_18,0.2131,0.3146,0.0711,0.8333,6,8,2690,3674,sentence-transformers/all-MiniLM-L6-v2
groq,lif_19,lifestyle,Equipment,lif_base_19,lif_con_19,0.3215,0.0964,0.0505,0.7963,37,28,3272,3118,sentence-transformers/all-MiniLM-L6-v2
groq,lif_20,lifestyle,Health,lif_base_20,lif_con_20,0.2393,0.1568,0.1546,0.8372,25,25,5018,2841,sentence-transformers/all-MiniLM-L6-v2
